Review ID,Movie,Rating,Review,User ID
1,The Dark Knight,3,Review 1 for The Dark Knight,347
2,Avatar,4,Review 2 for Avatar,141
3,Inception,2,Review 3 for Inception,191
4,Titanic,4,Review 4 for Titanic,383
5,Interstellar,4,Review 5 for Interstellar,577
6,Titanic,2,Review 6 for Titanic,85
7,Inception,5,Review 7 for Inception,674
8,The Dark Knight,4,Review 8 for The Dark Knight,792
9,Titanic,4,Review 9 for Titanic,320
10,Inception,4,Review 10 for Inception,686
11,Avatar,3,Review 11 for Avatar,82
12,Inception,5,Review 12 for Inception,797
13,Interstellar,4,Review 13 for Interstellar,330
14,Avatar,1,Review 14 for Avatar,785
15,Inception,1,Review 15 for Inception,621
16,Inception,2,Review 16 for Inception,770
17,Avatar,4,Review 17 for Avatar,660
18,Interstellar,2,Review 18 for Interstellar,895
19,Inception,3,Review 19 for Inception,44
20,Interstellar,5,Review 20 for Interstellar,585
21,The Dark Knight,1,Review 21 for The Dark Knight,590
22,Avatar,5,Review 22 for Avatar,535
23,Interstellar,5,Review 23 for Interstellar,995
24,The Dark Knight,5,Review 24 for The Dark Knight,31
25,Titanic,3,Review 25 for Titanic,486
26,Inception,4,Review 26 for Inception,671
27,Interstellar,3,Review 27 for Interstellar,884
28,The Dark Knight,5,Review 28 for The Dark Knight,387
29,Inception,4,Review 29 for Inception,675
30,Interstellar,5,Review 30 for Interstellar,658
31,Avatar,5,Review 31 for Avatar,242
32,Avatar,1,Review 32 for Avatar,274
33,Inception,4,Review 33 for Inception,373
34,Interstellar,4,Review 34 for Interstellar,106
35,Inception,2,Review 35 for Inception,860
36,Titanic,4,Review 36 for Titanic,164
37,Interstellar,3,Review 37 for Interstellar,162
38,Interstellar,5,Review 38 for Interstellar,10
39,Interstellar,5,Review 39 for Interstellar,354
40,Interstellar,5,Review 40 for Interstellar,816
41,Avatar,1,Review 41 for Avatar,436
42,Inception,1,Review 42 for Inception,737
43,Interstellar,5,Review 43 for Interstellar,153
44,Titanic,2,Review 44 for Titanic,345
45,Titanic,5,Review 45 for Titanic,820
46,Inception,1,Review 46 for Inception,46
47,Titanic,3,Review 47 for Titanic,558
48,Inception,2,Review 48 for Inception,275
49,Interstellar,3,Review 49 for Interstellar,245
50,Titanic,3,Review 50 for Titanic,112
51,Titanic,4,Review 51 for Titanic,674
52,Avatar,5,Review 52 for Avatar,270
53,Titanic,2,Review 53 for Titanic,870
54,Inception,5,Review 54 for Inception,782
55,Inception,4,Review 55 for Inception,789
56,The Dark Knight,2,Review 56 for The Dark Knight,357
57,Interstellar,2,Review 57 for Interstellar,498
58,The Dark Knight,3,Review 58 for The Dark Knight,303
